subj,ability,fame,mean_sim
C01,control,famous,-0.04234773892546215
C01,control,novel,-0.038320424241769194
C04,control,famous,-0.07780832834486046
C04,control,novel,-0.04627489170372238
C05,control,famous,-0.1355294537410626
C05,control,novel,-0.10278202774689918
C06,control,famous,-0.032624124083333345
C06,control,novel,-0.008325487390714682
C07,control,famous,-0.0713208914776553
C07,control,novel,-0.09532315928436282
C08,control,famous,-0.01026937403241816
C08,control,novel,-0.07553654563063496
C10,control,famous,-0.0013742485027780952
C10,control,novel,-0.06620321058983396
C11,control,famous,-0.06509312111498088
C11,control,novel,-0.08341893115708342
C12,control,famous,-0.07540819854076002
C12,control,novel,-0.08059481649478024
C14,control,famous,-0.11461369993792597
C14,control,novel,-0.09186284123271751
C15,control,famous,0.021845134270731075
C15,control,novel,-0.012364014072647582
C18,control,famous,-0.4657755528504937
C18,control,novel,-0.44562842764780397
C20,control,famous,0.0163472545778982
C20,control,novel,-0.07758769584509669
C21,control,famous,0.02672919743831203
C21,control,novel,-0.012216071992384819
C22,control,famous,-0.11030257124832742
C22,control,novel,-0.11164938294674229
C25,control,famous,-0.05981781975131249
C25,control,novel,-0.06290691916985686
C28,control,famous,-0.14532673134346683
C28,control,novel,-0.083329551944797145
C29,control,famous,0.005197225393190631
C29,control,novel,-0.02665677990374306
C31,control,famous,-0.01515739786008223
C31,control,novel,-0.05744415407515317
C32,control,famous,-0.15361677811027713
C32,control,novel,-0.14313786797980058
C33,control,famous,-0.12182526144354106
C33,control,novel,-0.09576564245074135
C34,control,famous,0.0035966387154221986
C34,control,novel,-0.03728973012980205
C37,control,famous,0.02533598298290353
C37,control,novel,-0.0017058890229538454
C39,control,famous,-0.09239484426695223
C39,control,novel,-0.12664053562634286
C40,control,famous,-0.1382786599064496
C40,control,novel,-0.12889060408098957
C41,control,famous,0.04255629285527832
C41,control,novel,-0.021593328724817566
C42,control,famous,-0.06335868038093759
C42,control,novel,-0.07164502930377231
C43,control,famous,-0.02577765045894671
C43,control,novel,-0.012796807840619614
C46,control,famous,-0.20009339273029597
C46,control,novel,-0.20311676821364094
C48,control,famous,-0.016164287018137012
C48,control,novel,-0.010452664869856671
C49,control,famous,-0.018419024003214803
C49,control,novel,-0.03214631748570227
C50,control,famous,-0.024092960933168428
C50,control,novel,-0.08169281509239543
C51,control,famous,-0.03188284230451627
C51,control,novel,-0.05702363893721752
C54,control,famous,0.04478578251252419
C54,control,novel,-0.008283619737080666
C55,control,famous,-0.13777222046849247
C55,control,novel,-0.1550693749122415
C56,control,famous,-0.011841333804726744
C56,control,novel,-0.028064469653193525
C57,control,famous,-0.29949159590121655
C57,control,novel,-0.2631722825283744
C58,control,famous,-0.0022119744507421903
C58,control,novel,-0.024065033471842835
C60,control,famous,-0.18695909757394802
C60,control,novel,-0.14340704237904647
C61,control,famous,-0.13295835032627726
C61,control,novel,-0.13604751142725907
C63,control,famous,0.03462622046532408
C63,control,novel,-0.0913159616920291
C64,control,famous,-0.025304191416833745
C64,control,novel,-0.04901797254668059
C66,control,famous,-0.05052777709252293
C66,control,novel,-0.0665030713200678
C69,control,famous,-0.011545698074470326
C69,control,novel,-0.048281097406213516
C71,control,famous,-0.029596805853020138
C71,control,novel,-0.04904625239463907
D06,devprop,famous,-0.025596594450906236
D06,devprop,novel,0.0032093853105561103
D08,devprop,famous,-0.11526924446682368
D08,devprop,novel,-0.09073790867591931
D13,devprop,famous,-0.11034359520035521
D13,devprop,novel,-0.08162041505179235
D14,devprop,famous,-0.0573839416437729
D14,devprop,novel,-0.03438149183424126
D15,devprop,famous,-0.04233446810180098
D15,devprop,novel,-0.10952298469967983
D16,devprop,famous,-0.08630356861386698
D16,devprop,novel,-0.06899641572720137
D17,devprop,famous,-0.11151328317614556
D17,devprop,novel,-0.01854140243213857
D18,devprop,famous,-0.08139660928997669
D18,devprop,novel,-0.06076354306370314
D90,devprop,famous,-0.18712979037184307
D90,devprop,novel,-0.1033880025689223
D91,devprop,famous,-0.03671378186385615
D91,devprop,novel,-0.017285950747987767
D92,devprop,famous,-0.04235259272760653
D92,devprop,novel,-0.023646769135420135
D93,devprop,famous,-0.2557684856755408
D93,devprop,novel,-0.262327833922789
D94,devprop,famous,-0.1425906863863849
D94,devprop,novel,-0.09774215449565947
D95,devprop,famous,-0.04904938649778
D95,devprop,novel,-0.03815608033618153
D96,devprop,famous,-0.04469673283482391
D96,devprop,novel,-0.015317291238217963
S01,super,famous,0.13567180478011023
S01,super,novel,0.14745768113804944
S02,super,famous,0.20955290721063125
S02,super,novel,0.14712879982154597
S03,super,famous,0.2317616755750622
S03,super,novel,0.1696697324356656
S04,super,famous,0.0765669110048285
S04,super,novel,0.11062346168040293
S07,super,famous,0.013581549000825564
S07,super,novel,-0.006299572773450178
S09,super,famous,0.21100071586358085
S09,super,novel,0.18690232692159192
S10,super,famous,0.2623337831145937
S10,super,novel,0.23539859117216116
S11,super,famous,0.1684883004440496
S11,super,novel,0.14616638434088827
S12,super,famous,0.053548343717489406
S12,super,novel,-0.02639213238423969
S13,super,famous,-0.11526667452452309
S13,super,novel,-0.133178691867674
S14,super,famous,0.22416814576648353
S14,super,novel,0.18955852708814103
S15,super,famous,0.20371038610945305
S15,super,novel,0.18118429822724894
S17,super,famous,-0.028452333291261407
S17,super,novel,-0.033333171604766544
S90,super,famous,0.16275991621392305
S90,super,novel,0.14255113333562272
S91,super,famous,0.04887916211276986
S91,super,novel,0.01988193567932068
